word	tag	freq_A1	freq_A2	freq_B1	freq_B2	freq_C1	freq_C2	freq_total
-ci	ADV	0.8346	198.0576	210.1782	223.4478	297.6957	154.624	186.2201
abaisser	VER	0.8346	0.0	0.4317	0.0	0.0	12.833	1.249
abandon	NOM	0.0	0.4157	12.2898	3.8116	40.1357	0.0	9.4206
abandonner	VER	20.6833	63.4051	140.6614	47.0027	66.9321	56.7717	77.8163
abasourdir	VER	0.0	0.2891	0.0	8.2287	0.0	0.0	1.4088
abattage	NOM	0.0	0.0	0.5857	0.0	18.0014	0.0	1.6104
abattoir	NOM	0.0	0.0	0.5531	0.8102	6.0005	0.0	1.3093
abattre	VER	0.0	0.0	7.0412	1.3018	18.0014	0.0	5.0757
abbaye	NOM	0.0	7.633	14.5595	0.0	3.4423	0.0	6.4078
abbé	NOM	0.0	1.2456	9.7876	0.0	0.0	0.0	3.6281
abeille	NOM	0.0	0.0	2.9042	0.0	31.5653	48.2218	7.9511
aberration	NOM	0.0	0.0	0.0	1.3018	4.139	0.0	0.6191
aboiement	NOM	0.0	0.0	2.6693	0.0	0.0	0.0	0.6647
abolir	VER	0.0	0.0	0.6378	2.2839	62.3406	0.0	5.4191
abolition	NOM	0.0	0.0	0.3906	0.0	50.2393	0.0	3.5282
abomination	NOM	0.0	0.0	0.0	0.0	4.139	0.0	0.0975
abondamment	ADV	0.0	0.0	3.5861	0.0	4.139	0.0	1.5093
abondance	NOM	0.0	0.0	4.9077	0.0	4.139	0.0	1.9782
abondant	ADJ	0.0	1.2017	0.5857	0.0	6.0005	12.833	2.7821
abonder	VER	0.0	0.0	0.0	1.3018	0.0	0.0	0.035
abonnement	NOM	0.0	0.5137	0.4665	0.0	0.0	0.0	0.6313
abonner	VER	0.0	0.0	1.757	0.0	4.139	0.0	0.9932
abonné	NOM	0.0	0.1937	0.0	2.5411	6.0005	0.0	1.7178
abord	NOM	0.0	0.4157	0.5857	0.0	12.0009	0.0	1.9214
abordable	ADJ	0.0	0.0	0.0	0.0	4.139	0.0	0.0975
aborder	VER	0.0	4.4863	42.8479	11.0661	55.2176	12.833	26.176
aborigène	ADJ	0.0	0.606	0.0	0.0	0.0	0.0	0.0408
aboutir	VER	0.0	0.0	5.0402	2.2839	20.6179	19.328	4.7962
aboutissement	NOM	0.0	0.0	0.0	0.0	0.0	12.833	0.0975
aboyer	VER	7.2462	2.0851	11.117	0.0	0.0	0.0	7.8857
abreuver	VER	0.0	0.4157	0.0	0.0	0.0	0.0	0.02
abri	NOM	2.5165	1.5638	7.1395	0.911	0.0	0.0	5.5297
abricot	NOM	8.1307	0.0	1.9134	0.0	0.0	0.0	2.564
abriter	VER	8.6224	9.8649	4.3647	8.4038	0.0	0.0	8.7404
abroger	VER	0.0	0.0	0.0	0.0	4.139	0.0	0.0975
abruti	NOM	0.0	0.0	0.0	0.911	0.0	0.0	0.0652
abrutir	VER	0.0	0.0	0.1243	0.0	0.0	0.0	0.0408
abréger	VER	0.0	0.0	0.438	2.2839	0.0	0.0	0.7115
absence	NOM	7.4133	16.0247	29.6427	66.9849	94.8864	138.6137	45.6871
absent	ADJ	0.8346	0.5213	1.757	0.0	40.1357	0.0	5.6672
absent	NOM	0.0	0.0	0.0	0.0	6.0005	0.0	0.1431
absenter	VER	0.0	0.0	0.0	0.3387	0.0	38.656	0.7324
absentéisme	NOM	0.0	0.0	2.9283	0.0	0.0	0.0	0.272
absolu	ADJ	0.6291	1.2017	0.4317	1.2705	18.0014	44.6051	7.9731
absolu	NOM	0.0	0.0	0.0	2.2839	0.0	0.0	0.0614
absolument	ADV	0.9464	55.2222	34.8657	46.1469	49.5147	0.0	39.9798
absorber	VER	0.0	0.6008	0.3906	0.911	40.6321	0.0	5.1916
absorption	NOM	0.0	0.0	0.0	0.0	8.2781	0.0	0.1951
absoudre	VER	0.0	0.0	5.3763	0.0	3.4423	0.0	1.9376
